date,distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Avg Pace,Elev Gain,Avg Stride Length,Gain per KM,Hour,Month,Day,expected_HR,performance_rated
2020-05-13 10:24:42,8.0,561,10:24,153,172,162,12.080536912751677,58,1.24,7.25,10,5,13,154.34677852348995,better
2020-05-11 08:56:55,11.0,833,08:56,169,182,164,12.631578947368421,13,1.29,1.1818181818181819,8,5,11,157.60894736842107,worse
2020-05-07 12:49:22,5.0,326,12:49,168,185,170,14.754098360655739,67,1.45,13.4,12,5,7,170.17426229508197,better
2020-05-05 19:10:34,6.63,543,19:10,96,138,66,3.4123222748815167,181,0.92,27.300150829562593,19,5,5,103.03094786729858,better
2020-05-04 12:35:12,5.0,371,12:35,134,164,125,8.237986270022883,77,1.11,15.4,12,5,4,131.59887871853547,worse
2020-05-03 11:57:37,4.86,436,11:57,135,175,122,6.90978886756238,220,0.94,45.267489711934154,11,5,3,123.73595009596929,worse
2020-04-21 15:33:22,10.01,761,15:33,161,182,161,11.920529801324504,193,1.24,19.280719280719282,15,4,21,153.39953642384106,worse
2020-04-18 15:41:55,2.46,175,15:41,130,151,150,9.39947780678851,31,1.04,12.601626016260163,15,4,18,138.47490861618797,better
2020-04-07 15:08:37,7.02,487,15:08,167,183,167,13.688212927756652,143,1.37,20.37037037037037,15,4,7,163.8642205323194,worse
2020-04-05 11:16:22,13.5,1016,11:16,160,178,163,11.428571428571429,356,1.17,26.37037037037037,11,4,5,150.48714285714286,worse
2020-04-04 11:08:11,10.02,749,11:08,161,180,162,11.920529801324504,260,1.22,25.94810379241517,11,4,4,153.39953642384106,worse
2020-04-02 13:34:53,8.01,565,13:34,149,182,158,10.619469026548671,154,1.11,19.22596754057428,13,4,2,145.69725663716812,worse
2020-03-31 13:47:14,12.01,826,13:47,163,182,166,13.043478260869566,222,1.31,18.484596169858452,13,3,31,160.04739130434783,worse
2020-03-30 13:05:30,10.02,723,13:05,160,177,161,12.121212121212121,280,1.26,27.94411177644711,13,3,30,154.58757575757573,worse
2020-03-28 12:16:48,6.91,518,12:16,129,146,152,8.0,154,0.88,22.286541244573083,12,3,28,130.19,better
2020-03-27 17:37:29,10.01,696,17:37,152,176,164,12.121212121212121,138,1.23,13.786213786213786,17,3,27,154.58757575757573,better
2020-03-26 17:15:49,7.02,497,17:15,161,181,167,13.333333333333334,152,1.33,21.652421652421655,17,3,26,161.76333333333332,better
2020-03-24 16:57:07,15.02,1114,16:57,153,168,159,11.009174311926605,328,1.15,21.837549933422103,16,3,24,148.0043119266055,worse
2020-03-23 17:10:35,10.0,765,17:10,163,181,164,12.5,247,1.27,24.7,17,3,23,156.82999999999998,worse
2020-03-22 08:28:57,7.46,547,08:28,150,175,153,11.180124223602485,109,1.19,14.611260053619302,8,3,22,149.0163354037267,worse
2020-03-20 18:30:28,7.01,490,18:30,142,170,123,10.112359550561797,87,1.4,12.410841654778888,18,3,20,142.69516853932583,better
2020-03-19 11:56:29,6.36,495,11:56,157,181,156,11.501597444089457,153,1.23,24.056603773584904,11,3,19,150.9194568690096,worse
